都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,通称,通称_カナ,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,URL,備考
131130,44,東京都,渋谷区,上原公園,ウエハラコウエン,,,,東京都渋谷区上原3-13-10,,,35.6669047,139.6787091,2,2,,,,,,2,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E4%B8%8A%E5%8E%9F%E5%85%AC%E5%9C%92/@35.666806,139.6763814,17z/data=!3m1!4b1!4m8!1m2!2m1!1z5LiK5Y6f5YWs5ZyS!3m4!1s0x6018f346535e40e1:0xe41b23db7da4b3de!8m2!3d35.666806!4d139.6785701",
131130,45,東京都,渋谷区,西原一丁目公園,ニシハライッチョウメコウエン,,,,東京都渋谷区西原1-29-1,,,35.6777632,139.6799374,3,2,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E8%A5%BF%E5%8E%9F%E4%B8%80%E4%B8%81%E7%9B%AE%E5%85%AC%E5%9C%92/@35.6776875,139.6775825,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f33a95fa5b87:0x6a35945e0f7ce5aa!8m2!3d35.6776875!4d139.6797712",
131130,46,東京都,渋谷区,代々木西原公園,ヨヨギニシハラコウエン,,,,東京都渋谷区西原1-47-8,,,35.673889,139.684459,3,2,1,,2,2,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E4%BB%A3%E3%80%85%E6%9C%A8%E8%A5%BF%E5%8E%9F%E5%85%AC%E5%9C%92/@35.6735644,139.6821642,17z/data=!4m8!1m2!2m1!1z5Luj44CF5pyo6KW_5Y6f5YWs5ZyS!3m4!1s0x6018f33645313927:0x70b63e91b1c80456!8m2!3d35.6736473!4d139.6844313",
131130,47,東京都,渋谷区,西原二丁目児童遊園地,ニシハラニチョウメジドウユウエンチ,,,,東京都渋谷区西原2-46-1,,,35.6730222,139.6787106,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E8%A5%BF%E5%8E%9F%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6730103,139.676493,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f3399bf998d9:0xee82664e20ef1491!8m2!3d35.6730103!4d139.6786817?hl=ja",
131130,48,東京都,渋谷区,代々木大山公園,ヨヨギオオヤマコウエン,,,,東京都渋谷区西原2-53-1,,,35.6715401,139.67538,4,3,1,2,2,1,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B+%E4%BB%A3%E3%80%85%E6%9C%A8%E5%A4%A7%E5%B1%B1%E5%85%AC%E5%9C%92/@35.6714019,139.6732768,17z/data=!4m12!1m6!3m5!1s0x6018f33eb3dd5e89:0x26be993430e03d47!2z5riL6LC35Yy656uLIOS7o-OAheacqOWkp-WxseWFrOWckg!8m2!3d35.6714477!4d139.6754977!3m4!1s0x6018f33eb3dd5e89:0x26be993430e03d47!8m2!3d35.6714477!4d139.6754977",
131130,49,東京都,渋谷区,大山児童遊園地,オオヤマジドウユウエンチ,,,,東京都渋谷区大山町6-8,,,35.6671898,139.675365,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%A4%A7%E5%B1%B1%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6671898,139.673171,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f340b1014b73:0x5ee75bf7727e77a3!8m2!3d35.6671898!4d139.675365?hl=ja",
131130,50,東京都,渋谷区,はるのおがわコミュニティパーク,ハルノオガワコミュニティパーク,,,,東京都渋谷区代々木5-68-1,,,35.671446,139.6908198,3,2,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E3%81%AF%E3%82%8B%E3%81%AE%E3%81%8A%E3%81%8C%E3%82%8F%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%83%91%E3%83%BC%E3%82%AF/@35.671446,139.6886258,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f34b2c27fc0f:0x7ebf514a19f669d6!8m2!3d35.671446!4d139.6908198?hl=ja",
131130,51,東京都,渋谷区,本町一丁目児童遊園地,ホンマチイッチョウメジドウユウエンチ,,,,東京都渋谷区本町1-26-6,,,35.6796564,139.6797905,2,2,,,,,,1,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%9C%AC%E7%94%BA%E4%B8%80%E4%B8%81%E7%9B%AE%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6798019,139.6776728,17z/data=!4m8!1m2!2m1!1z5pys55S65LiA5LiB55uu5YWQ56ul6YGK5ZyS5Zyw!3m4!1s0x0:0xaf8453346f4a7304!8m2!3d35.6796565!4d139.6797905",
131130,52,東京都,渋谷区,本町南児童遊園地,ホンマチミナミジドウユウエンチ,,,,東京都渋谷区本町1-56-6,,,35.6829447,139.6838942,1,,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%9C%AC%E7%94%BA%E5%8D%97%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6828689,139.6816289,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f32ef8e6b5ef:0xf6938d098d9e7f23!8m2!3d35.6828689!4d139.6838229?hl=ja",
131130,53,東京都,渋谷区,初台児童遊園地,ハツダイジドウユウエンチ,,,,東京都渋谷区初台2-18-6,,,35.6774775,139.6856181,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%88%9D%E5%8F%B0%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6771272,139.6842988,17z/data=!4m8!1m2!2m1!1z5Yid5Y-w5YWQ56ul6YGK5ZyS5Zyw!3m4!1s0x6018f3315b8bebab:0x181fd14fcca98a2b!8m2!3d35.6774775!4d139.6856181?hl=ja",
